,,,Total,Total,Total,Not a high school graduate,Not a high school graduate,Not a high school graduate,High school graduate,High school graduate,High school graduate,Some college/associate's degree,Some college/associate's degree,Some college/associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Advanced degree,Advanced degree,Advanced degree
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error
Hispanic Origin (of any race),Male,2018,44851.0,16016.0,703.0,32348.0,4122.0,873.0,40028.0,5594.0,1091.0,43825.0,3716.0,1141.0,64478.0,1892.0,2485.0,110367.0,689.0,7405.0
Hispanic Origin (of any race),Male,2017,43300.0,15759.0,550.0,31968.0,4104.0,870.0,38865.0,5328.0,848.0,43481.0,3834.0,1112.0,62469.0,1845.0,1668.0,95960.0,646.0,4629.0
Hispanic Origin (of any race),Male,2016,44237.0,15189.0,740.0,33701.0,4124.0,1240.0,41541.0,5136.0,1473.0,42172.0,3652.0,1032.0,62670.0,1643.0,2021.0,98834.0,633.0,5580.0
Hispanic Origin (of any race),Male,2015,41556.0,14962.0,637.0,29719.0,4327.0,937.0,36549.0,4982.0,921.0,40672.0,3426.0,919.0,69600.0,1570.0,3109.0,95226.0,655.0,5492.0
Hispanic Origin (of any race),Male,2014,38152.0,14478.0,509.0,27032.0,4478.0,433.0,34347.0,4686.0,715.0,40192.0,3331.0,1293.0,59791.0,1439.0,1792.0,92887.0,542.0,5575.0
Hispanic Origin (of any race),Male,2013,35990.0,13980.0,556.0,25151.0,4475.0,414.0,32070.0,4366.0,557.0,37245.0,3222.0,1007.0,59368.0,1360.0,3510.0,89624.0,555.0,6006.0
Hispanic Origin (of any race),Male,2012,35423.0,13622.0,487.0,24012.0,4379.0,396.0,32313.0,4460.0,778.0,36238.0,2949.0,910.0,60552.0,1308.0,2578.0,89780.0,525.0,4702.0
Hispanic Origin (of any race),Male,2011,34135.0,13134.0,431.0,24189.0,4277.0,409.0,29872.0,4272.0,595.0,36660.0,2928.0,712.0,54936.0,1200.0,1759.0,96359.0,456.0,6859.0
Hispanic Origin (of any race),Male,2010,33274.0,12773.0,383.0,23709.0,4263.0,595.0,29768.0,4188.0,498.0,35925.0,2756.0,746.0,56924.0,1147.0,1897.0,83343.0,420.0,3578.0
Hispanic Origin (of any race),Male,2009,32279.0,12643.0,443.0,21588.0,4486.0,309.0,28908.0,4109.0,577.0,36071.0,2485.0,1060.0,58570.0,1122.0,2600.0,84368.0,439.0,4972.0
Hispanic Origin (of any race),Male,2008,34240.0,12857.0,509.0,24340.0,4720.0,670.0,30618.0,3990.0,476.0,37864.0,2615.0,1044.0,56980.0,1109.0,2868.0,96976.0,422.0,6556.0
Hispanic Origin (of any race),Male,2007,33040.0,12885.0,421.0,23923.0,4726.0,519.0,30932.0,4111.0,698.0,35861.0,2510.0,724.0,50805.0,1057.0,1436.0,87195.0,478.0,5348.0
Hispanic Origin (of any race),Male,2006,32532.0,12711.0,488.0,23060.0,4920.0,470.0,32148.0,3884.0,1080.0,36217.0,2500.0,981.0,51336.0,1066.0,1565.0,87835.0,340.0,5886.0
Hispanic Origin (of any race),Male,2005,31008.0,12015.0,401.0,21623.0,4744.0,294.0,29471.0,3667.0,638.0,34754.0,2326.0,770.0,54700.0,896.0,2021.0,84033.0,380.0,6680.0
Hispanic Origin (of any race),Male,2004,30828.0,11562.0,413.0,21606.0,4633.0,343.0,29694.0,3440.0,786.0,34447.0,2241.0,783.0,53567.0,916.0,2209.0,84152.0,332.0,6076.0
Hispanic Origin (of any race),Male,2003,28806.0,11195.0,419.0,20637.0,4556.0,310.0,26652.0,3234.0,502.0,34157.0,2193.0,1296.0,49298.0,867.0,2485.0,71446.0,344.0,4795.0
Hispanic Origin (of any race),Male,2002,29084.0,10979.0,516.0,21611.0,4506.0,689.0,27992.0,3205.0,782.0,32935.0,2112.0,1210.0,46115.0,815.0,2412.0,73836.0,338.0,5926.0
Hispanic Origin (of any race),Male,2001,27964.0,10258.0,456.0,20614.0,4289.0,598.0,26745.0,2985.0,727.0,32595.0,1962.0,882.0,45445.0,748.0,1713.0,75746.0,272.0,7676.0
Hispanic Origin (of any race),Male,2000,27253.0,9996.0,516.0,19501.0,4236.0,460.0,25629.0,2940.0,532.0,30155.0,1873.0,797.0,55050.0,722.0,4651.0,81447.0,223.0,9696.0
Hispanic Origin (of any race),Male,1999,24381.0,9576.0,392.0,17713.0,3944.0,285.0,23196.0,2875.0,421.0,28621.0,1873.0,909.0,41740.0,623.0,2761.0,66191.0,262.0,7607.0
Hispanic Origin (of any race),Male,1998,25534.0,8288.0,775.0,17756.0,3428.0,883.0,24739.0,2413.0,1248.0,26483.0,1652.0,1677.0,40889.0,569.0,2451.0,83754.0,226.0,13919.0
Hispanic Origin (of any race),Male,1997,23520.0,8261.0,595.0,17447.0,3444.0,712.0,22253.0,2391.0,918.0,25923.0,1598.0,852.0,37963.0,557.0,2021.0,68097.0,272.0,10265.0
Hispanic Origin (of any race),Male,1996,21870.0,7975.0,657.0,14986.0,3382.0,347.0,21593.0,2116.0,628.0,26682.0,1687.0,2101.0,38130.0,531.0,5090.0,49307.0,259.0,6300.0
Hispanic Origin (of any race),Male,1995,20312.0,7337.0,544.0,14774.0,3140.0,347.0,20882.0,2039.0,1467.0,22171.0,1475.0,978.0,35109.0,466.0,2695.0,50802.0,215.0,4151.0
Hispanic Origin (of any race),Male,1994,21288.0,7117.0,754.0,16355.0,3111.0,1409.0,19667.0,1937.0,557.0,24517.0,1410.0,855.0,33797.0,450.0,2185.0,60858.0,210.0,10036.0
Hispanic Origin (of any race),Male,1993,19460.0,6957.0,526.0,13572.0,2928.0,357.0,18765.0,1954.0,566.0,22417.0,1444.0,859.0,37554.0,438.0,5974.0,52441.0,194.0,6150.0
Hispanic Origin (of any race),Male,1992,18318.0,6811.0,381.0,13041.0,2981.0,384.0,18884.0,1888.0,685.0,21266.0,1353.0,812.0,32859.0,415.0,2101.0,45065.0,173.0,5028.0
Hispanic Origin (of any race),Male,1991,18516.0,5932.0,385.0,13134.0,2548.0,349.0,18582.0,1705.0,573.0,21886.0,1132.0,848.0,31699.0,356.0,2105.0,45107.0,192.0,5317.0
Hispanic Origin (of any race),Male,1990,18320.0,5745.0,332.0,13182.0,2562.0,276.0,18100.0,1812.0,455.0,22376.0,852.0,831.0,31485.0,314.0,1966.0,47479.0,205.0,4339.0
Hispanic Origin (of any race),Male,1989,18087.0,5641.0,352.0,13167.0,2632.0,265.0,17579.0,1711.0,452.0,22374.0,810.0,996.0,32767.0,292.0,2536.0,49088.0,196.0,4778.0
Hispanic Origin (of any race),Male,1988,17357.0,5477.0,361.0,12836.0,2517.0,316.0,17446.0,1621.0,475.0,21631.0,811.0,1205.0,26935.0,333.0,1807.0,40916.0,194.0,4602.0
Hispanic Origin (of any race),Male,1987,17048.0,5248.0,372.0,12823.0,2281.0,369.0,16774.0,1616.0,523.0,19414.0,758.0,773.0,26581.0,383.0,1782.0,39014.0,211.0,4410.0
Hispanic Origin (of any race),Male,1986,15624.0,5037.0,305.0,11262.0,2262.0,313.0,15948.0,1546.0,476.0,19675.0,778.0,962.0,27427.0,274.0,1975.0,32538.0,176.0,2705.0
Hispanic Origin (of any race),Male,1985,15293.0,4702.0,285.0,11671.0,2111.0,342.0,15602.0,1491.0,464.0,18168.0,678.0,771.0,24723.0,267.0,1723.0,32831.0,155.0,2792.0
Hispanic Origin (of any race),Male,1984,14957.0,4344.0,344.0,11441.0,2022.0,385.0,15763.0,1319.0,549.0,17261.0,611.0,1014.0,23835.0,223.0,1878.0,30727.0,168.0,3231.0
Hispanic Origin (of any race),Male,1983,14265.0,3577.0,324.0,11353.0,1678.0,400.0,14584.0,1074.0,549.0,16626.0,514.0,864.0,21911.0,170.0,2111.0,28680.0,141.0,2681.0
Hispanic Origin (of any race),Male,1982,13484.0,3480.0,339.0,10108.0,1622.0,392.0,13883.0,1083.0,488.0,15560.0,495.0,845.0,22565.0,153.0,2632.0,34474.0,125.0,3995.0
Hispanic Origin (of any race),Male,1981,13052.0,3504.0,292.0,10447.0,1686.0,342.0,13513.0,1037.0,489.0,15432.0,489.0,785.0,19201.0,177.0,1928.0,27619.0,114.0,3427.0
Hispanic Origin (of any race),Male,1980,12310.0,3401.0,303.0,9825.0,1707.0,394.0,13108.0,961.0,526.0,14331.0,451.0,890.0,19224.0,167.0,1986.0,24642.0,114.0,3439.0
Hispanic Origin (of any race),Male,1979,11332.0,3269.0,268.0,9393.0,1615.0,378.0,11714.0,952.0,448.0,12489.0,441.0,714.0,18923.0,142.0,2113.0,21299.0,118.0,2619.0
Hispanic Origin (of any race),Male,1978,10473.0,2915.0,258.0,8836.0,1498.0,427.0,10940.0,815.0,426.0,11545.0,393.0,665.0,16898.0,127.0,1861.0,20702.0,2730.0,
Hispanic Origin (of any race),Male,1977,9655.0,2833.0,198.0,8192.0,1460.0,281.0,10386.0,776.0,372.0,9924.0,391.0,501.0,15189.0,120.0,1420.0,19025.0,2291.0,
Hispanic Origin (of any race),Male,1976,8787.0,2571.0,195.0,7440.0,1321.0,272.0,9640.0,712.0,345.0,8843.0,342.0,508.0,13650.0,114.0,1299.0,16184.0,2339.0,
Hispanic Origin (of any race),Male,1975,8162.0,2456.0,189.0,6745.0,1287.0,268.0,8546.0,691.0,289.0,8807.0,279.0,536.0,12881.0,113.0,1142.0,17991.0,2535.0,
Hispanic Origin (of any race),Female,2019,35546.0,13120.0,529.0,20976.0,2215.0,799.0,28057.0,3698.0,676.0,32653.0,3902.0,828.0,48151.0,2306.0,1309.0,77841.0,997.0,3518.0
Hispanic Origin (of any race),Female,2018,35190.0,12519.0,764.0,19793.0,2165.0,501.0,27405.0,3577.0,998.0,32013.0,3807.0,1102.0,54567.0,2018.0,3036.0,71121.0,951.0,4285.0
Hispanic Origin (of any race),Female,2017,32961.0,12067.0,585.0,18292.0,2132.0,397.0,27743.0,3478.0,1242.0,31127.0,3753.0,1026.0,46237.0,1921.0,1135.0,72396.0,781.0,3439.0
Hispanic Origin (of any race),Female,2016,30569.0,11747.0,460.0,20694.0,2135.0,1272.0,24313.0,3340.0,467.0,28587.0,3752.0,620.0,44608.0,1778.0,1488.0,63592.0,740.0,2829.0
Hispanic Origin (of any race),Female,2015,31160.0,11301.0,603.0,18138.0,2302.0,723.0,24151.0,3258.0,642.0,30937.0,3460.0,1049.0,46372.0,1525.0,1968.0,71443.0,754.0,4869.0
Hispanic Origin (of any race),Female,2014,28291.0,10775.0,482.0,17461.0,2340.0,817.0,24412.0,3183.0,855.0,27210.0,3209.0,741.0,44347.0,1412.0,1773.0,57642.0,629.0,2140.0
Hispanic Origin (of any race),Female,2013,27504.0,10412.0,430.0,16971.0,2229.0,502.0,22999.0,2946.0,683.0,27184.0,3302.0,731.0,42216.0,1398.0,1289.0,59686.0,535.0,3249.0
Hispanic Origin (of any race),Female,2012,26479.0,10189.0,378.0,15174.0,2166.0,304.0,21832.0,3001.0,387.0,25408.0,3093.0,458.0,41277.0,1398.0,1408.0,66273.0,528.0,4248.0
Hispanic Origin (of any race),Female,2011,26230.0,9892.0,375.0,14949.0,2305.0,281.0,21988.0,2904.0,368.0,26032.0,2844.0,607.0,41483.0,1327.0,1395.0,62746.0,510.0,3870.0
Hispanic Origin (of any race),Female,2010,25554.0,9553.0,288.0,14667.0,2206.0,247.0,21136.0,2793.0,284.0,25797.0,2795.0,384.0,39292.0,1243.0,1203.0,61673.0,515.0,2830.0
Hispanic Origin (of any race),Female,2009,25713.0,8907.0,447.0,16170.0,2180.0,768.0,21473.0,2644.0,483.0,26065.0,2550.0,853.0,39566.0,1134.0,1041.0,64405.0,398.0,4897.0
Hispanic Origin (of any race),Female,2008,24646.0,8995.0,334.0,14960.0,2552.0,318.0,21725.0,2712.0,399.0,25226.0,2534.0,626.0,39231.0,1115.0,1382.0,56175.0,380.0,2930.0
Hispanic Origin (of any race),Female,2007,25262.0,8676.0,362.0,15574.0,2162.0,559.0,22283.0,2570.0,602.0,26179.0,2489.0,659.0,38584.0,1057.0,1094.0,56129.0,396.0,2312.0
Hispanic Origin (of any race),Female,2006,24104.0,8497.0,378.0,15072.0,2214.0,743.0,20608.0,2611.0,359.0,26260.0,2362.0,770.0,38825.0,971.0,1248.0,52896.0,337.0,2901.0
Hispanic Origin (of any race),Female,2005,22887.0,8009.0,290.0,14365.0,2250.0,308.0,19864.0,2413.0,383.0,24493.0,2141.0,536.0,37003.0,879.0,1110.0,55554.0,324.0,2732.0
Hispanic Origin (of any race),Female,2004,21967.0,7781.0,263.0,13830.0,2302.0,230.0,20037.0,2301.0,304.0,23796.0,2128.0,389.0,34949.0,753.0,1515.0,53887.0,298.0,3163.0
Hispanic Origin (of any race),Female,2003,21391.0,7591.0,342.0,13632.0,2210.0,451.0,18967.0,2283.0,363.0,22411.0,2042.0,466.0,37550.0,795.0,2042.0,51294.0,258.0,3160.0
Hispanic Origin (of any race),Female,2002,21008.0,7430.0,418.0,13694.0,2241.0,568.0,18810.0,2293.0,324.0,22035.0,1911.0,437.0,35357.0,753.0,2175.0,58623.0,230.0,7783.0
Hispanic Origin (of any race),Female,2001,20330.0,7316.0,450.0,13976.0,2243.0,867.0,17786.0,2279.0,336.0,22229.0,1879.0,783.0,35142.0,668.0,2699.0,47176.0,245.0,2786.0
Hispanic Origin (of any race),Female,2000,19115.0,7164.0,415.0,12622.0,2191.0,930.0,17180.0,2204.0,314.0,20372.0,1864.0,413.0,33489.0,672.0,2303.0,47057.0,232.0,3340.0
Hispanic Origin (of any race),Female,1999,18132.0,6699.0,469.0,12722.0,2077.0,1260.0,16548.0,2032.0,460.0,19588.0,1789.0,542.0,29108.0,570.0,1134.0,42463.0,230.0,2420.0
Hispanic Origin (of any race),Female,1998,17461.0,6804.0,557.0,12273.0,1854.0,1377.0,15952.0,1806.0,539.0,20460.0,1639.0,689.0,29317.0,587.0,2144.0,38422.0,200.0,3471.0
Hispanic Origin (of any race),Female,1997,16781.0,5711.0,554.0,10503.0,1794.0,1072.0,15747.0,1691.0,637.0,17759.0,1477.0,611.0,29173.0,584.0,2635.0,43051.0,165.0,6178.0
Hispanic Origin (of any race),Female,1996,15841.0,5390.0,578.0,9867.0,1680.0,332.0,14635.0,1667.0,577.0,16856.0,1409.0,581.0,27407.0,495.0,1503.0,50960.0,139.0,17662.0
Hispanic Origin (of any race),Female,1995,15310.0,5096.0,685.0,9809.0,1644.0,565.0,14989.0,1555.0,1541.0,17521.0,1380.0,1542.0,25338.0,399.0,1722.0,36255.0,118.0,3079.0
Hispanic Origin (of any race),Female,1994,14631.0,4918.0,404.0,8559.0,1576.0,304.0,14313.0,1508.0,546.0,17309.0,1313.0,1081.0,23867.0,393.0,1272.0,37269.0,127.0,4428.0
Hispanic Origin (of any race),Female,1993,13602.0,4687.0,329.0,8489.0,1498.0,297.0,13584.0,1413.0,595.0,15250.0,1284.0,609.0,21627.0,361.0,1258.0,34001.0,131.0,4391.0
Hispanic Origin (of any race),Female,1992,13774.0,4539.0,328.0,8854.0,1445.0,363.0,13277.0,1461.0,470.0,15858.0,1162.0,702.0,22144.0,352.0,1456.0,34457.0,119.0,3319.0
Hispanic Origin (of any race),Female,1991,13073.0,4074.0,332.0,7960.0,1358.0,310.0,13037.0,1339.0,463.0,15720.0,948.0,723.0,20791.0,309.0,1675.0,30713.0,119.0,3791.0
Hispanic Origin (of any race),Female,1990,12516.0,3984.0,254.0,5093.0,1367.0,309.0,12109.0,1470.0,354.0,15245.0,682.0,629.0,19378.0,287.0,1331.0,27184.0,177.0,1824.0
Hispanic Origin (of any race),Female,1989,12307.0,3929.0,266.0,8256.0,1353.0,401.0,11799.0,1477.0,365.0,14482.0,703.0,629.0,22617.0,243.0,1379.0,26700.0,153.0,2265.0
Hispanic Origin (of any race),Female,1988,11573.0,3749.0,290.0,7597.0,1307.0,349.0,11284.0,1332.0,392.0,14012.0,700.0,662.0,19707.0,263.0,1171.0,24444.0,146.0,3675.0
Hispanic Origin (of any race),Female,1987,11234.0,3569.0,286.0,7350.0,1176.0,354.0,10627.0,1366.0,417.0,13929.0,642.0,688.0,18003.0,261.0,1033.0,26584.0,124.0,3436.0
Hispanic Origin (of any race),Female,1986,10457.0,3356.0,231.0,7130.0,1117.0,338.0,10319.0,1289.0,332.0,12648.0,633.0,547.0,16142.0,197.0,1165.0,22071.0,119.0,2096.0
Hispanic Origin (of any race),Female,1985,9865.0,3138.0,236.0,6699.0,1112.0,367.0,9784.0,1170.0,327.0,11791.0,548.0,639.0,15503.0,191.0,1098.0,22480.0,118.0,2173.0
Hispanic Origin (of any race),Female,1984,9150.0,3005.0,252.0,6438.0,1107.0,436.0,9492.0,1138.0,380.0,10848.0,505.0,619.0,14404.0,158.0,1310.0,18706.0,2355.0,
Hispanic Origin (of any race),Female,1983,8704.0,2645.0,6305.0,996.0,9261.0,956.0,9750.0,462.0,13507.0,150.0,16817.0,,,,,,,
Hispanic Origin (of any race),Female,1982,8195.0,2434.0,233.0,5781.0,961.0,373.0,8668.0,884.0,374.0,9896.0,378.0,605.0,13719.0,150.0,1235.0,15244.0,2247.0,
Hispanic Origin (of any race),Female,1981,7723.0,2426.0,215.0,5486.0,962.0,364.0,8292.0,929.0,342.0,9483.0,345.0,563.0,12292.0,143.0,1101.0,15503.0,2767.0,
Hispanic Origin (of any race),Female,1980,6770.0,2322.0,199.0,5028.0,942.0,358.0,6923.0,863.0,287.0,8808.0,357.0,576.0,10568.0,116.0,1177.0,14668.0,2935.0,
Hispanic Origin (of any race),Female,1979,6255.0,2276.0,184.0,4675.0,918.0,347.0,6708.0,860.0,286.0,7069.0,327.0,482.0,9168.0,1001.0,13313.0,1905.0,,
Hispanic Origin (of any race),Female,1978,5501.0,1983.0,173.0,4135.0,847.0,377.0,5834.0,739.0,273.0,6686.0,268.0,507.0,9684.0,1098.0,10908.0,1872.0,,
Hispanic Origin (of any race),Female,1977,4964.0,1919.0,137.0,3707.0,846.0,276.0,5466.0,685.0,236.0,5588.0,265.0,367.0,9082.0,691.0,10569.0,2119.0,,
Hispanic Origin (of any race),Female,1976,4548.0,1732.0,132.0,3537.0,786.0,273.0,5124.0,597.0,229.0,5075.0,250.0,373.0,6884.0,826.0,9218.0,1425.0,,
Hispanic Origin (of any race),Female,1975,4152.0,1622.0,122.0,3233.0,741.0,277.0,4708.0,602.0,209.0,4790.0,195.0,376.0,6226.0,805.0,8067.0,1536.0,,
White alone or in combination,Both sexes,2019,59471.0,132975.0,375.0,29623.0,9258.0,598.0,40726.0,33763.0,367.0,46542.0,37662.0,486.0,74677.0,33652.0,821.0,106928.0,18637.0,1676.0
White alone or in combination,Both sexes,2018,56743.0,131740.0,342.0,27594.0,9782.0,561.0,40561.0,34044.0,441.0,44105.0,37541.0,491.0,73115.0,32347.0,797.0,100070.0,18024.0,1357.0
White alone or in combination,Both sexes,2017,54535.0,130955.0,248.0,27180.0,10024.0,435.0,39663.0,34025.0,373.0,42587.0,37794.0,328.0,69035.0,31680.0,518.0,98853.0,17429.0,1091.0
White alone or in combination,Both sexes,2016,52885.0,129984.0,246.0,28492.0,9901.0,662.0,38170.0,34183.0,346.0,41339.0,38480.0,311.0,68292.0,30471.0,575.0,95331.0,16947.0,1034.0
White alone or in combination,Both sexes,2015,50981.0,129762.0,237.0,26268.0,10609.0,512.0,36948.0,33995.0,315.0,39835.0,38596.0,291.0,66733.0,29682.0,592.0,92570.0,16877.0,1003.0
White alone or in combination,Both sexes,2014,48772.0,127557.0,223.0,25894.0,10790.0,570.0,35354.0,34216.0,278.0,39403.0,37756.0,329.0,63404.0,28754.0,513.0,88614.0,16039.0,966.0
White alone or in combination,Both sexes,2013,47280.0,127029.0,248.0,24264.0,10470.0,531.0,34101.0,34391.0,275.0,37330.0,38164.0,318.0,60859.0,28374.0,557.0,91349.0,15627.0,1246.0
White alone or in combination,Both sexes,2012,46650.0,126527.0,208.0,22019.0,10696.0,320.0,33803.0,34058.0,266.0,36751.0,38544.0,260.0,61399.0,28072.0,489.0,90761.0,15154.0,1034.0
White alone or in combination,Both sexes,2011,45898.0,125256.0,199.0,21648.0,11080.0,283.0,33584.0,34425.0,288.0,36139.0,37718.0,225.0,61173.0,27455.0,454.0,89895.0,14575.0,1038.0
White alone or in combination,Both sexes,2010,44103.0,124707.0,180.0,21427.0,10993.0,406.0,32023.0,34908.0,235.0,35295.0,37355.0,214.0,59122.0,26941.0,458.0,85131.0,14511.0,843.0
White alone or in combination,Both sexes,2009,43213.0,127001.0,182.0,20468.0,11708.0,303.0,31351.0,36656.0,204.0,35540.0,37684.0,244.0,57662.0,26920.0,456.0,86067.0,14031.0,950.0
White alone or in combination,Both sexes,2008,43550.0,129419.0,181.0,21483.0,12630.0,321.0,32072.0,37299.0,220.0,35528.0,38593.0,226.0,59824.0,26784.0,503.0,84687.0,14111.0,886.0
White alone or in combination,Both sexes,2007,43000.0,129203.0,174.0,22245.0,12568.0,321.0,32126.0,37570.0,221.0,35565.0,38664.0,215.0,58565.0,26583.0,462.0,82309.0,13816.0,888.0
White alone or in combination,Both sexes,2006,42249.0,128366.0,188.0,21389.0,13800.0,260.0,31998.0,37915.0,266.0,35276.0,37530.0,249.0,57807.0,26035.0,501.0,83002.0,13084.0,974.0
White alone or in combination,Both sexes,2005,40592.0,126882.0,184.0,20225.0,13424.0,204.0,30494.0,37723.0,216.0,34279.0,38149.0,252.0,55758.0,24919.0,514.0,81437.0,12665.0,1036.0
White alone or in combination,Both sexes,2004,38855.0,125388.0,172.0,19365.0,13540.0,252.0,29595.0,37639.0,223.0,32736.0,37287.0,210.0,52790.0,24361.0,437.0,78747.0,12560.0,1034.0
White alone or in combination,Both sexes,2003,37958.0,124456.0,144.0,18734.0,16282.0,183.0,27915.0,45064.0,159.0,31498.0,44048.0,193.0,51206.0,28672.0,420.0,74601.0,14592.0,803.0
White alone or in combination,Both sexes,2002,37290.0,124337.0,167.0,19278.0,13957.0,303.0,28107.0,37863.0,203.0,31767.0,36639.0,231.0,52509.0,23865.0,497.0,73773.0,12011.0,863.0
White alone or in combination,Male,2019,69210.0,70994.0,538.0,34298.0,5873.0,761.0,46842.0,20261.0,492.0,56095.0,19119.0,731.0,90075.0,16818.0,1244.0,131766.0,8921.0,2592.0
White alone or in combination,Male,2018,66592.0,70514.0,531.0,32386.0,6295.0,819.0,47055.0,20239.0,615.0,54167.0,19000.0,830.0,87522.0,16344.0,1258.0,125050.0,8634.0,2333.0
White alone or in combination,Male,2017,63878.0,70702.0,412.0,32027.0,6487.0,677.0,46168.0,20339.0,563.0,51639.0,19232.0,564.0,83192.0,16168.0,888.0,121690.0,8475.0,2003.0
White alone or in combination,Male,2016,62320.0,69912.0,388.0,33197.0,6429.0,911.0,45231.0,20309.0,538.0,49685.0,19464.0,500.0,83750.0,15397.0,948.0,116488.0,8312.0,1718.0
White alone or in combination,Male,2015,60364.0,69837.0,374.0,31168.0,6866.0,737.0,43502.0,20177.0,465.0,47616.0,19353.0,445.0,82230.0,15086.0,994.0,115139.0,8353.0,1693.0
White alone or in combination,Male,2014,58148.0,68611.0,358.0,30224.0,6989.0,766.0,41291.0,20145.0,376.0,48193.0,18921.0,552.0,78225.0,14611.0,877.0,112251.0,7943.0,1694.0
White alone or in combination,Male,2013,55973.0,68402.0,400.0,28083.0,6948.0,756.0,39102.0,20165.0,334.0,45088.0,19129.0,510.0,73958.0,14346.0,972.0,117941.0,7813.0,2183.0
White alone or in combination,Male,2012,55544.0,68068.0,332.0,25701.0,6940.0,465.0,39910.0,19715.0,417.0,44814.0,19246.0,453.0,74396.0,14465.0,791.0,113877.0,7700.0,1700.0
White alone or in combination,Male,2011,54835.0,67254.0,319.0,25719.0,7030.0,418.0,40105.0,19864.0,466.0,44135.0,18674.0,386.0,73557.0,14163.0,685.0,112265.0,7521.0,1729.0
White alone or in combination,Male,2010,52457.0,66903.0,293.0,25205.0,7032.0,613.0,37540.0,20047.0,369.0,42500.0,18359.0,355.0,72047.0,14004.0,734.0,105955.0,7461.0,1440.0
White alone or in combination,Male,2009,51133.0,68426.0,289.0,23327.0,7561.0,406.0,36321.0,21162.0,304.0,42760.0,18567.0,397.0,71166.0,13886.0,765.0,106451.0,7248.0,1544.0
White alone or in combination,Male,2008,52502.0,69829.0,292.0,25254.0,8263.0,469.0,37740.0,21192.0,329.0,43307.0,19210.0,369.0,75024.0,13734.0,828.0,107065.0,7428.0,1491.0
White alone or in combination,Male,2007,51599.0,70073.0,282.0,25848.0,8305.0,447.0,38072.0,21436.0,345.0,42760.0,19343.0,327.0,73390.0,13697.0,784.0,103214.0,7291.0,1503.0
White alone or in combination,Male,2006,50826.0,69702.0,302.0,24524.0,9055.0,321.0,38699.0,21401.0,444.0,42605.0,18686.0,397.0,71602.0,13443.0,825.0,103097.0,7116.0,1546.0
White alone or in combination,Male,2005,49437.0,68987.0,306.0,23526.0,8740.0,281.0,36608.0,21289.0,350.0,42139.0,18954.0,439.0,69821.0,13045.0,855.0,102904.0,6957.0,1734.0
White alone or in combination,Male,2004,47275.0,67758.0,281.0,22576.0,8751.0,368.0,35348.0,21074.0,345.0,40627.0,18362.0,362.0,65498.0,12728.0,705.0,99543.0,6843.0,1704.0
White alone or in combination,Male,2003,45989.0,67198.0,264.0,21787.0,8682.0,247.0,34225.0,20534.0,278.0,39555.0,18421.0,374.0,65237.0,12774.0,801.0,93792.0,6785.0,1408.0
White alone or in combination,Male,2002,45682.0,67082.0,272.0,22601.0,8977.0,439.0,33846.0,20430.0,317.0,39439.0,18377.0,408.0,65548.0,12621.0,795.0,92575.0,6675.0,1381.0
White alone or in combination,Female,2019,48317.0,61981.0,435.0,21512.0,3385.0,759.0,31548.0,13502.0,428.0,36692.0,18542.0,525.0,59294.0,16834.0,890.0,84123.0,9716.0,1809.0
White alone or in combination,Female,2018,45400.0,61226.0,369.0,18941.0,3486.0,430.0,31039.0,13805.0,546.0,33793.0,18541.0,454.0,58401.0,16002.0,868.0,77099.0,9390.0,1274.0
White alone or in combination,Female,2017,43571.0,60252.0,286.0,18290.0,3537.0,353.0,29995.0,13686.0,482.0,33208.0,18562.0,365.0,54279.0,15511.0,576.0,77240.0,8954.0,1101.0
White alone or in combination,Female,2016,41905.0,60071.0,273.0,19780.0,3472.0,817.0,27833.0,13873.0,297.0,32797.0,19015.0,350.0,52505.0,15074.0,603.0,74966.0,8635.0,1112.0
White alone or in combination,Female,2015,40046.0,59924.0,261.0,17281.0,3743.0,477.0,27376.0,13817.0,353.0,32010.0,19243.0,362.0,50716.0,14596.0,586.0,70453.0,8523.0,1005.0
White alone or in combination,Female,2014,37859.0,58945.0,232.0,17930.0,3801.0,770.0,26854.0,14070.0,395.0,30572.0,18835.0,340.0,48092.0,14143.0,467.0,65422.0,8095.0,833.0
White alone or in combination,Female,2013,37138.0,58627.0,257.0,16731.0,3522.0,472.0,27011.0,14226.0,455.0,29534.0,19035.0,363.0,47464.0,14028.0,479.0,64762.0,7814.0,1041.0
White alone or in combination,Female,2012,36293.0,58458.0,220.0,15217.0,3756.0,264.0,25408.0,14343.0,244.0,28709.0,19298.0,240.0,47584.0,13607.0,528.0,66881.0,7454.0,1069.0
White alone or in combination,Female,2011,35534.0,58001.0,211.0,14581.0,4050.0,217.0,24687.0,14561.0,220.0,28299.0,19044.0,218.0,47976.0,13292.0,561.0,66041.0,7053.0,1001.0
White alone or in combination,Female,2010,34434.0,57804.0,182.0,14718.0,3960.0,246.0,24581.0,14861.0,217.0,28332.0,18995.0,230.0,45130.0,12937.0,492.0,63092.0,7050.0,727.0
