,,,Total,Total,Total,Not a high school graduate,Not a high school graduate,Not a high school graduate,High school graduate,High school graduate,High school graduate,Some college/associate's degree,Some college/associate's degree,Some college/associate's degree,Bachelor's degree,Bachelor's degree,Bachelor's degree,Advanced degree,Advanced degree,Advanced degree
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error
Total,Female,1994,18684.0,62850.0,143.0,9189.0,6498.0,165.0,14955.0,21195.0,149.0,16928.0,20276.0,199.0,26483.0,10388.0,463.0,39905.0,4493.0,1040.0
Total,Female,1993,17900.0,61937.0,141.0,9462.0,6425.0,482.0,14446.0,21391.0,174.0,16555.0,19897.0,155.0,25232.0,10005.0,441.0,37212.0,4218.0,986.0
Total,Female,1992,17050.0,60753.0,100.0,9248.0,6394.0,183.0,14073.0,21783.0,122.0,15922.0,18721.0,154.0,23926.0,9741.0,284.0,33791.0,4114.0,637.0
Total,Female,1991,16320.0,60226.0,8818.0,6875.0,159.0,13523.0,22398.0,114.0,15643.0,17657.0,151.0,22800.0,9349.0,270.0,32932.0,3949.0,634.0,
Total,Female,1990,15493.0,59862.0,8808.0,7286.0,169.0,12986.0,25224.0,103.0,15002.0,14149.0,154.0,21933.0,8321.0,270.0,28862.0,4883.0,459.0,
Total,Female,1989,14809.0,59296.0,8268.0,7363.0,167.0,12468.0,25377.0,14688.0,13694.0,155.0,21089.0,8030.0,264.0,26977.0,4831.0,469.0,,
Total,Female,1988,13833.0,58558.0,7711.0,7642.0,165.0,11857.0,25217.0,100.0,14009.0,13198.0,179.0,19216.0,7842.0,253.0,25010.0,4660.0,451.0,
Total,Female,1987,13049.0,56923.0,7504.0,7631.0,171.0,11309.0,24834.0,100.0,13158.0,12971.0,155.0,18217.0,7211.0,261.0,24004.0,4277.0,447.0,
Total,Female,1986,12214.0,55568.0,7109.0,7457.0,169.0,10606.0,24542.0,12029.0,12611.0,133.0,17623.0,6880.0,233.0,22672.0,4078.0,367.0,,
Total,Female,1985,11493.0,54212.0,6874.0,7555.0,179.0,10115.0,24178.0,11504.0,12017.0,134.0,16114.0,6579.0,207.0,21202.0,3883.0,334.0,,
Total,Female,1984,10742.0,53178.0,6644.0,7881.0,203.0,9561.0,23625.0,10614.0,11645.0,110.0,14865.0,6266.0,193.0,20275.0,3762.0,313.0,,
Total,Female,1983,10111.0,51279.0,6292.0,7644.0,9147.0,23111.0,9981.0,10947.0,13808.0,5919.0,18593.0,3658.0,,,,,,
