Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-3.  Mean Earnings of Workers 18 Years and Over, by Educational Attainment, Race, Hispanic Origin, and Sex:  1975 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mean annual earnings [dollars].  Total number with earnings in thousands.  Standard error of the mean.  Noninstitutionalized population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, sex, and earnings year",,,Total,,,Not a high school graduate,,,High school graduate,,,Some college/associate's degree,,,Bachelor's degree,,,Advanced degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"69,548","55,091",466,"32,263","2,530",949,"48,476","15,170",637,"53,779","15,353",604,"85,885","14,239",912,"123,866","7,797","2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"67,180","54,893",451,"31,668","2,543","1,112","46,416","15,315",555,"51,782","15,718",577,"86,312","13,676","1,037","118,068","7,639","1,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"65,206","55,185",442,"33,263","2,799","1,205","45,748","15,274",545,"49,241","15,920",510,"83,548","13,498","1,056","116,321","7,692","1,782",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"63,100","54,432",429,"35,105","2,752","1,830","43,312","15,583",441,"49,712","15,606",616,"80,075","13,117",955,"113,515","7,372","1,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"60,804","54,529",478,"32,329","2,717","1,823","40,991","15,819",396,"46,713","15,873",582,"75,345","12,910","1,020","120,004","7,208","2,318",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"60,396","54,569",396,"28,026","2,784","1,003","42,157","15,388",502,"46,477","16,175",512,"75,826","13,080",838,"115,598","7,139","1,803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"59,584","54,244",379,"27,872","2,978",819,"42,772","15,644",568,"45,443","15,675",434,"75,168","12,900",729,"113,244","7,045","1,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"56,719","54,268",341,"27,427","2,989","1,092","39,449","15,938",434,"43,567","15,564",378,"73,425","12,791",777,"107,361","6,987","1,515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"55,318","55,638",340,"25,695","3,187",864,"38,160","17,015",353,"43,802","15,981",433,"72,305","12,708",808,"107,872","6,746","1,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"56,538","56,822",339,"26,479","3,654",691,"39,405","17,206",390,"44,237","16,439",400,"76,613","12,562",872,"107,498","6,960","1,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"55,662","57,080",331,"27,874","3,716",784,"39,764","17,309",397,"43,835","16,684",364,"75,214","12,597",842,"104,317","6,772","1,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"54,843","56,843",352,"26,100","4,289",450,"40,180","17,470",494,"43,589","16,024",438,"73,376","12,321",888,"104,031","6,738","1,606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"53,263","56,675",359,"25,511","4,127",503,"38,134","17,507",406,"43,137","16,456",491,"70,932","12,048",906,"104,107","6,535","1,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"50,597","55,930",323,"23,590","4,204",633,"36,324","17,568",367,"41,467","15,952",387,"66,527","11,739",743,"100,533","6,467","1,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"49,386","55,774",305,"22,957","4,224",401,"35,589","17,225",315,"40,316","16,048",394,"66,390","11,849",838,"95,029","6,427","1,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"48,817","55,994",329,"23,250","4,580",529,"34,909","17,218",375,"40,368","16,121",440,"66,638","11,764",878,"93,686","6,309","1,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"47,973","56,528",316,"23,096","4,749",549,"34,627","17,672",352,"39,133","16,114",370,"66,196","11,692",881,"92,954","6,299","1,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"47,084","56,675",318,"23,296","4,763",706,"33,669","17,733",281,"39,379","16,435",431,"65,459","11,594",899,"90,150","6,149","1,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"44,403","56,071",386,"20,502","4,787",466,"32,532","17,844",359,"37,651","16,087",583,"60,564","11,283","1,018","86,004","6,070","2,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"41,612","56,246",372,"20,781","5,152",584,"30,429","18,048",374,"29,555","15,849",625,"57,346","11,335","1,042","79,524","5,862","1,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"51,591","48,810",525,"21,892","1,258","1,404","32,961","9,852",522,"37,958","14,631",624,"60,867","14,387",996,"84,645","8,680","1,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"47,928","48,659",413,"17,849","1,424",708,"32,350","10,277",639,"34,384","14,661",491,"58,885","13,904",884,"77,623","8,391","1,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"46,110","48,282",326,"18,522","1,502",642,"30,718","10,313",507,"33,840","14,788",391,"55,450","13,533",641,"77,446","8,144","1,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"44,556","48,441",321,"18,777","1,437",886,"28,989","10,656",361,"33,801","15,235",412,"53,598","13,240",659,"75,942","7,871","1,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"42,070","48,771",294,"15,942","1,595",548,"28,315","10,646",416,"32,304","15,772",365,"51,126","13,009",616,"71,035","7,746","1,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"39,860","48,324",261,"18,662","1,591","1,463","27,637","10,999",449,"31,276","15,630",383,"48,291","12,665",472,"66,161","7,436",891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"39,084","48,284",297,"16,062","1,418",914,"28,041","11,300",548,"29,999","15,815",411,"48,070","12,526",515,"65,190","7,223","1,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"38,240","48,405",254,"15,189","1,718",458,"26,303","11,433",291,"29,413","16,187",274,"48,247","12,165",570,"66,824","6,900","1,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"37,382","48,120",242,"14,314","1,870",346,"25,435","11,669",260,"28,766","16,105",237,"48,640","11,990",604,"66,120","6,484","1,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"36,125","48,194",206,"14,687","1,833",411,"25,343","12,107",255,"28,856","16,134",260,"45,779","11,634",526,"63,074","6,486",741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"35,396","49,498",219,"14,216","2,029",337,"25,147","12,845",261,"28,911","16,448",294,"43,636","11,825",463,"64,351","6,349","1,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"34,517","50,471",209,"13,730","2,144",336,"25,133","13,391",294,"28,244","16,781",274,"44,220","11,883",542,"60,063","6,270",759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"34,069","50,353",190,"14,779","2,192",412,"24,570","13,546",229,"28,772","16,746",294,"43,150","11,769",439,"59,121","6,099",757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"33,407","49,984",218,"15,751","2,857",518,"23,805","13,875",210,"28,322","16,379",319,"43,473","11,534",544,"59,458","5,608","1,015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"31,208","49,661",184,"13,837","2,476",336,"23,004","13,977",203,"26,812","16,899",255,"40,562","10,964",513,"55,422","5,344",769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"30,051","49,576",187,"13,401","2,551",291,"22,631","14,225",274,"25,294","16,609",223,"39,161","10,805",471,"53,927","5,386",902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"29,613","49,439",178,"14,475","2,543",431,"22,473","14,605",236,"25,499","16,411",241,"37,761","10,624",415,"53,164","5,253",919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"28,410","49,712",191,"13,163","2,800",287,"21,762","15,146",271,"24,318","16,222",216,"38,049","10,457",579,"49,845","5,085",712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"28,210","49,856",197,"14,328","3,062",816,"21,301","15,378",313,"24,628","16,004",294,"36,844","10,512",404,"51,756","4,898",930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"26,315","50,034",158,"12,962","3,194",474,"19,631","15,498",192,"23,038","16,401",199,"35,362","10,230",414,"49,126","4,710",876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"24,492","50,068",196,"12,283","3,384",829,"18,618","16,139",244,"21,869","16,067",256,"32,687","9,979",563,"45,934","4,499",862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"23,891","49,277",226,"10,746","3,336",268,"18,568","16,295",305,"18,198","15,610",347,"31,516","9,840",554,"45,805","4,196","1,294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"46,007","20,774",680,"26,661","1,337","1,777","33,518","6,434",849,"37,994","6,615",666,"60,580","4,189","1,873","90,712","2,196","3,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"42,382","20,439",491,"23,817","1,466",813,"31,675","6,338",663,"38,299","6,651",762,"54,959","3,837","1,138","76,871","2,145","2,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"41,570","20,112",473,"23,690","1,329","1,047","31,889","6,293",755,"36,777","6,816",763,"53,938","3,740","1,172","78,350","1,932","1,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"40,767","19,755",552,"24,054","1,496","1,189","30,131","6,150",677,"34,740","6,841",722,"57,409","3,394","1,603","80,903","1,873","3,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"39,394","19,150",543,"19,783","1,582",590,"29,211","6,015",549,"34,653","6,606",678,"55,506","3,220","1,649","80,976","1,725","3,623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"37,012","18,657",467,"22,353","1,420","1,487","28,439","5,905",590,"32,074","6,605",708,"51,983","3,084","1,170","72,257","1,642","2,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"35,817","18,023",505,"21,403","1,590","1,548","26,670","5,689",624,"32,137","6,228",670,"49,904","2,997","1,570","72,496","1,517","2,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"34,800","17,838",396,"18,889","1,486",981,"26,625","5,639",669,"31,730","6,398",562,"48,972","2,854",957,"68,329","1,459","2,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"34,755","17,295",452,"17,488","1,613",649,"27,562","5,539",732,"32,891","5,964",771,"45,477","2,796",748,"70,140","1,380","2,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"32,900","17,016",337,"17,849","1,643",638,"25,781","5,557",429,"30,592","5,969",503,"44,502","2,593",718,"71,127","1,255","2,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"33,362","16,744",381,"18,936","1,618","1,108","26,970","5,803",623,"30,520","5,577",494,"47,799","2,583",883,"66,923","1,162","2,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"32,874","17,509",362,"18,123","1,748","1,293","27,265","6,060",565,"30,248","5,933",370,"46,527","2,550",957,"66,198","1,216","2,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"33,333","17,453",389,"17,439","1,854",417,"27,179","5,996",564,"32,787","5,813",820,"46,502","2,682",759,"64,247","1,107","1,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"32,443","17,234",404,"17,823","1,943",457,"26,368","6,159",588,"31,234","5,581",674,"47,903","2,503","1,366","64,834","1,045","2,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"30,472","17,000",327,"17,216","2,025",445,"23,904","6,101",325,"28,848","5,390",464,"47,101","2,412","1,378","63,664","1,071","2,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"29,096","16,632",298,"17,827","2,044","1,105","23,498","6,139",251,"27,779","5,192",453,"42,342","2,348",843,"65,538",909,"2,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"28,838","16,389",334,"16,201","2,095",391,"23,777","5,941",337,"27,187","5,119",422,"42,968","2,321","1,249","64,164",911,"3,341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"28,179","16,352",329,"16,516","2,148",711,"22,823","5,822",380,"27,626","5,255",505,"42,285","2,275",901,"59,944",851,"3,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001,"27,031","16,683",300,"17,248","2,382","1,062","21,743","5,729",260,"26,907","5,481",448,"40,165","2,212",911,"55,771",877,"2,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,"26,204","16,756",260,"15,201","2,434",419,"21,789","6,020",325,"26,324","5,431",351,"41,513","2,060","1,198","52,373",809,"1,921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,"24,930","17,107",304,"13,505","2,451",409,"21,008","6,188",418,"25,169","5,437",439,"37,362","2,155",957,"52,516",877,"2,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1998,"22,829","16,201",264,"13,672","2,402",508,"19,236","6,053",307,"23,927","4,559",413,"36,373","1,897","1,005","44,760",764,"2,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1997,"21,909","15,873",254,"13,185","2,437",401,"18,980","5,964",322,"22,899","4,902",456,"32,062","1,846",773,"42,791",724,"2,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1996,"21,978","15,255",485,"13,110","2,383",434,"18,722","5,844",554,"23,628","4,783","1,084","31,955","1,655","1,080","48,731",590,"5,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,"20,537","14,847",374,"12,956","2,389",437,"17,072","5,453",315,"21,824","4,727",885,"29,666","1,684",876,"46,654",595,"3,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,"19,772","14,754",274,"12,705","2,290",463,"16,446","5,596",276,"19,631","4,610",573,"30,938","1,679",907,"48,653",579,"3,282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1993,"18,614","14,315",316,"11,065","2,352",370,"16,122","5,521",584,"18,867","4,279",413,"29,953","1,638","1,015","41,221",525,"2,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1992,"17,397","14,087",236,"11,091","2,444",394,"15,230","5,498",281,"17,702","4,151",409,"27,365","1,463",916,"39,014",530,"2,173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1991,"16,809","13,865",224,"11,248","2,860",379,"15,060","5,512",301,"17,598","3,581",414,"25,630","1,383",807,"36,735",528,"1,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,"16,627","13,731",186,"11,184","2,853",298,"14,794","6,049",213,"18,209","3,004",411,"26,448","1,217",745,"32,962",607,"1,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,"16,072","13,600",177,"10,066","2,883",266,"14,613","5,894",206,"17,385","3,008",340,"25,357","1,121",779,"32,740",694,"1,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1988,"15,318","13,356",191,"10,202","2,970",343,"13,835","5,760",236,"16,760","2,802",443,"23,689","1,204",702,"30,802",621,"1,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1987,"14,136","13,023",171,"9,976","3,015",264,"12,862","5,699",224,"15,491","2,617",363,"20,805","1,097",608,"29,163",596,"1,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1986,"13,494","12,729",167,"9,365","3,028",282,"12,276","5,470",190,"14,743","2,662",423,"21,403","1,004",810,"27,503",564,"1,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1985,"12,926","12,427",153,"9,116","3,009",275,"11,791","5,223",192,"13,805","2,615",348,"20,533","1,046",579,"26,246",535,"1,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1984,"12,002","11,948",131,"8,725","3,127",292,"10,882","4,927",170,"12,890","2,396",277,"19,330",937,551,"24,072",561,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1983,"11,299","11,296",(NA),"7,867","3,035",(NA),"10,557","4,692",(NA),"12,426","2,206",(NA),"17,207",828,(NA),"23,506",535,(NA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1982,"10,612","11,081",124,"7,799","3,188",227,"10,287","4,591",161,"11,119","2,067",271,"15,152",747,494,"22,959",488,"1,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1981,"10,117","11,088",109,"7,520","3,514",208,"9,994","4,388",159,"11,456","2,078",255,"14,587",708,457,"19,463",398,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,"11,085","5,576",170,"8,421","2,054",291,"11,563","2,119",260,"12,393",964,417,"15,616",283,739,"19,960",353,"1,026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1979,"8,720","10,856",97,"6,424","3,776",187,"8,723","4,267",135,"9,895","1,826",237,"13,473",622,534,"18,182",366,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1978,"7,981","10,420",91,"5,918","3,841",160,"8,152","3,944",133,"9,026","1,689",230,"12,870",557,544,"15,076",389,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,"7,271","10,014",70,"5,406","3,946",126,"7,553","3,604",116,"8,321","1,578",182,"11,088",532,342,"14,749",354,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1976,"6,716","9,744",66,"5,304","4,008",127,"6,805","3,515",95,"7,331","1,370",184,"10,331",547,314,"15,013",305,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1975,"6,190","9,368",57,"4,989","3,922",116,"6,281","3,495",83,"7,212","1,193",170,"9,473",517,280,"12,333",241,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"49,652","9,668","1,100","30,322",714,"2,779","36,777","3,426","1,044","42,898","2,911","1,179","67,135","1,863","3,169","109,444",752,"8,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"46,402","9,484",858,"28,044",754,"1,348","36,716","3,358","1,153","44,903","2,887","1,400","58,970","1,740","2,036","85,193",743,"5,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"46,085","9,427",778,"27,150",656,"1,499","36,451","3,406","1,128","41,410","3,002","1,196","61,434","1,628","2,327","92,812",733,"3,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"46,686","9,231",983,"26,919",769,"1,123","34,968","3,235","1,201","39,407","3,004",904,"70,026","1,531","3,322","103,465",691,"7,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"43,781","8,979",805,"23,846",796,916,"33,881","3,158",942,"39,459","2,874","1,130","63,477","1,466","2,734","88,699",683,"5,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"42,454","8,645",826,"25,516",746,"2,562","32,836","3,036",993,"37,116","2,831","1,194","60,458","1,376","2,322","91,652",653,"5,327",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"40,785","8,348",946,"26,346",843,"2,844","29,893","2,887","1,133","38,126","2,696","1,370","57,304","1,312","3,276","88,641",608,"4,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"38,244","8,293",629,"19,497",800,697,"30,276","2,891","1,085","36,043","2,804",784,"53,983","1,210","1,403","81,253",585,"4,418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"38,633","7,951",777,"21,035",812,"1,171","31,219","2,811","1,056","38,029","2,654","1,477","49,390","1,155","1,314","85,528",518,"5,607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"35,828","7,801",534,"19,893",884,"1,023","29,560","2,888",755,"34,405","2,479",845,"48,560","1,067","1,280","81,674",483,"3,838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"37,553","7,657",666,"21,828",861,"2,019","30,723","2,996",975,"35,889","2,301","1,011","55,655","1,030","1,812","78,574",467,"3,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"36,057","8,116",640,"22,344",866,"2,544","30,985","3,166","1,003","34,209","2,505",676,"51,691","1,059","1,668","73,948",518,"3,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"35,668","8,088",412,"19,705",985,611,"29,640","2,994",501,"34,035","2,492",617,"53,029","1,155","1,179","74,351",459,"3,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"36,045","7,932",621,"21,294",982,715,"30,122","3,067",889,"34,750","2,334","1,037","52,569","1,086","1,910","74,507",460,"4,518",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"34,165","7,836",609,"19,890","1,056",711,"27,360","3,050",551,"33,544","2,273",915,"52,070","1,011","2,998","77,210",444,"4,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"33,020","7,669",550,"22,796","1,030","2,143","26,608","3,120",394,"32,367","2,176",913,"47,746",957,"1,534","79,168",387,"4,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"32,545","7,469",519,"17,915","1,039",539,"28,102","2,910",543,"31,556","2,156",732,"45,635",966,"1,138","76,871",397,"6,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
